Date,Price,Open,High,Low,Vol.,Change %
12/16/2020,24.1,23.5,24.95,23.65,19.34M,2.55%
12/15/2020,23.5,22.6,23.5,22.8,23.42M,3.98%
12/14/2020,22.6,22.7,22.75,22.6,38.63M,-0.44%
12/11/2020,22.7,22,23.1,22,47.77M,3.18%
12/10/2020,22,23.45,23.3,21.85,65.04M,-6.18%
12/09/2020,23.45,23.4,23.55,23.4,29.72M,0.21%
12/08/2020,23.4,23.7,23.7,23.2,33.86M,-1.27%
12/07/2020,23.7,23.95,23.9,23.7,14.75M,-1.04%
12/04/2020,23.95,23.55,23.95,23.5,14.93M,1.70%
12/03/2020,23.55,24,24.05,23.55,31.20M,-1.88%
12/02/2020,24,24.4,24.3,24,44.02M,-1.64%
12/01/2020,24.4,24,24.4,23.5,9.39M,1.67%
11/30/2020,24,24.45,24.45,24,47.02M,-1.84%
11/27/2020,24.45,24.5,24.55,24.4,15.38M,-0.20%
11/26/2020,24.5,24.5,25,24.5,40.57M,0.00%
11/25/2020,24.5,24.1,25.3,24.5,59.22M,1.66%
11/24/2020,24.1,24.15,24.15,24,71.93M,-0.21%
11/23/2020,24.15,25.6,25.6,23.15,79.74M,-5.66%
11/20/2020,25.6,26.05,26.3,25.25,44.33M,-1.73%
11/19/2020,26.05,26.7,26.8,26.05,20.33M,-2.43%
11/18/2020,26.7,25.9,27.15,25.2,57.30M,3.09%
11/17/2020,25.9,26,25.95,24.5,46.34M,-0.38%
11/16/2020,26,27.15,27.15,25.65,94.03M,-4.24%
11/13/2020,27.15,28.15,28.5,25.45,163.52M,-3.55%
11/12/2020,28.15,25.6,28.15,25.6,161.38M,9.96%
11/11/2020,25.6,24.5,25.65,24,60.81M,4.49%
11/10/2020,24.5,23.95,24.5,23.4,67.91M,2.30%
11/09/2020,23.95,22.3,24,22.95,70.22M,7.40%
11/06/2020,22.3,21.9,22.3,21.95,29.51M,1.83%
11/05/2020,21.9,21.85,22,21.8,35.99M,0.23%
11/04/2020,21.85,21.85,21.95,21.75,21.87M,0.00%
11/03/2020,21.85,21.95,21.9,21.7,41.10M,-0.46%
11/02/2020,21.95,22.1,22.9,21.75,47.03M,-0.68%
10/30/2020,22.1,21.5,22.2,21.5,75.23M,2.79%
